	blacklist
1140	1843237
1141	1843371
1142	1843580
1143	1843581
1144	1844115
1145	1848973
1146	1850242
1147	1850373
1148	1852019
1149	1852020
1150	1852971
1151	1853130
1152	1855283
1153	1861874
1154	1862387
1155	1864509
1156	1867719
1157	1867956
1158	1869229
1159	1871011
1160	1871076
1161	1871111
1162	1876757
1163	1879050
1164	1880678
1165	1885674
1166	1886782
1167	1886785
1168	1886787
1169	1888892
1170	1891224
1171	1892903
1172	1895847
1173	1899321
1174	1903960
1175	1904756
1176	1904807
1177	1905276
1178	1905846
1179	1911919
1180	1911920
1181	1911921
1182	1911922
1183	1911923
1184	1911924
1185	1912214
1186	1914462
1187	1914540
1188	1915059
1189	1915074
1190	1921138
1191	1922333
1192	1924988
1193	1925020
1194	1925021
1195	1926278
1196	1926279
1197	1926280
1198	1928661
1199	1928857
1200	1931241
1201	1932749
1202	1932779
1203	1936060
1204	1940408
1205	1943631
1206	1958950
1207	1960096
1208	1962131
1209	1963032
1210	1964312
1211	1967781
1212	1969559
1213	1975704
1214	1977882
1215	1979270
1216	1981513
1217	1983719
1218	1985254
1219	1986026
1220	2004485
1221	2004650
1222	2006115
1223	2006980
1224	2008450
1225	2011008
1226	2011015
1227	2014074
1228	2014075
1229	2014887
1230	2022802
1231	2023067
1232	2023265
1233	2024526
1234	2025316
1235	2026176
1236	2026653
1237	2026654
1238	2026655
1239	2026681
1240	2027552
1241	2035448
1242	2036819
1243	2038277
1244	2038737
1245	2039284
1246	2040274
1247	2041385
1248	2044872
1249	2045105
1250	2045200
1251	2045208
1252	2045214
1253	2045451
1254	2051553
1255	2053287
1256	2053930
1257	2056231
1258	2057005
1259	2065192
1260	2071607
1261	2072566
1262	2078689
1263	2078952
1264	2078954
1265	2080416
1266	2081791
1267	2082725
1268	2109267
1269	2116704
1270	2126556
1271	2126983
1272	2133765
1273	2133766
1274	2133767
1275	2136182
1276	2136183
1277	2161748
1278	2162713
1279	2169409
1280	2169410
1281	2170554
1282	2171756
1283	2172098
1284	2175090
1285	2175091
1286	2182425
1287	2183896
1288	2201181
1289	2202825
1290	2202827
1291	2202828
1292	2211133
1293	2211445
1294	2212428
1295	2212651
1296	2213015
1297	2217670
1298	2219225
1299	2233533
1300	2234132
1301	2249356
1302	2249466
1303	2250086
1304	2259594
1305	2259622
1306	2267833
1307	2282554
1308	2283317
1309	2292701
1310	2293832
1311	2293833
1312	2293980
1313	2301192
1314	2303576
1315	2305907
1316	2315236
1317	2315330
1318	2315464
1319	2315689
1320	2315887
1321	2316085
1322	2319844
1323	2320861
1324	2320864
1325	2320866
1326	2320867
1327	2364026
1328	2364649
1329	2419601
1330	2419603
1331	2420890
1332	2448482
1333	2483802
1334	2484750
1335	2487274
1336	2487276
1337	2487346
1338	2487355
1339	2487519
1340	2487520
1341	2488728
1342	2488729
1343	2488750
1344	2488790
1345	2488993
1346	2492960
1347	2493092
1348	2493631
1349	2493633
1350	2495579
1351	2495591
1352	2497483
1353	2499852
1354	2502784
1355	2502979
1356	2505979
1357	2506421
1358	2506422
1359	2506424
1360	2506430
1361	2511166
1362	2518177
1363	2518644
1364	2528175
1365	2528630
1366	2529389
1367	2529433
1368	2541724
1369	2541725
1370	2541731
1371	2541732
1372	2541733
1373	2541734
1374	2547394
1375	2547811
1376	2547961
1377	2555898
1378	2559804
1379	2560054
1380	2560055
1381	2561931
1382	2561932
1383	2562153
1384	2562683
1385	2562891
1386	2565368
1387	2565924
1388	2570352
1389	2571105
1390	2571129
1391	2572576
1392	2576829
1393	2579922
1394	2583231
1395	2583531
1396	2583594
1397	2584084
1398	2586906
1399	2589807
1400	2590869
1401	2593302
1402	2593654
1403	2594428
1404	2594430
