v1	v2	asso	diss	adja
1390	2162637	0.723740438738187	0.371658150228011	0.628341849771989
1390	2364787	0.313564448750905	0.585847911684037	0.414152088315963
1390	2530390	0.428407672425861	0.534599068262441	0.465400931737559
1390	2606626	0.66051372544081	0.411998953007887	0.588001046992113
1390	2715212	0.717015354865475	0.376154652459946	0.623845347540054
1390	28119	0.546719960411752	0.476067242933311	0.523932757066689
1390	28129	-0.634487595355922	0.904015374691139	0.0959846253088605
1390	28132	0.593885948834102	0.450618492278057	0.549381507721943
1390	28135	0.493694174164151	0.503143034253605	0.496856965746395
1390	2847299	0.430717756133559	0.533517686617061	0.466482313382939
1390	290053	-0.340685309291928	0.818744560071066	0.181255439928934
1390	2913614	0.459610151285867	0.519802774479962	0.480197225520038
1390	291644	-0.60253381183577	0.895135132769285	0.104864867230715
1390	292800	0.503003605777766	0.49849593489929	0.50150406510071
1390	29347	0.365150528836361	0.563404593149381	0.436595406850619
1390	301301	-0.397878614694432	0.836025901122218	0.163974098877782
1390	32025	0.448226617798566	0.52524917049027	0.47475082950973
1390	328812	0.629635050936438	0.430328333405762	0.569671666594238
1390	328814	0.509242243814802	0.495357323648898	0.504642676351102
1390	387661	0.424658243095873	0.536349586046324	0.463650413953676
1390	454154	0.360038939324574	0.565668215774683	0.434331784225317
1390	52227	0.48730911735344	0.506305679726467	0.493694320273533
1390	544645	0.512234247612606	0.493844992071092	0.506155007928908
1390	562	-0.601534636610381	0.894856032166734	0.105143967833266
1390	674529	0.357816041393015	0.566649785408494	0.433350214591506
1390	818	0.398757440456525	0.54828941241988	0.45171058758012
1390	820	0.43713795874554	0.530500726321114	0.469499273678886
1390	821	0.56514622472195	0.466290561387452	0.533709438612548
1390	823	0.481165628195942	0.509330134492383	0.490669865507617
1390	853	0.539076554235053	0.480064290363773	0.519935709636227
1464	154046	0.777949558798144	0.333204472660449	0.666795527339551
1464	1622	0.310668107083157	0.587082572095631	0.412917427904369
1464	1796620	0.323934536703047	0.581405823541936	0.418594176458064
1464	2093857	-0.364073114870662	0.825855046261347	0.174144953738653
1464	239935	0.406178458955888	0.544895192236137	0.455104807763863
1464	246787	0.525571846151888	0.487046278010679	0.512953721989321
1464	2530391	0.713745777598598	0.378321438991634	0.621678561008366
1464	2606626	-0.307142556126368	0.808437553595319	0.191562446404681
1464	2650157	0.489257470455044	0.505342720114259	0.494657279885741
1464	2685834	0.50894502802784	0.495507301647594	0.504492698352406
1464	2691580	-0.619691467537874	0.899914292457308	0.100085707542692
1464	2714358	-0.447767871309214	0.850813690330972	0.149186309669028
1464	2763056	0.371181762513242	0.560721962066209	0.439278037933791
1464	2785531	0.666737518159999	0.408204900656522	0.591795099343478
1464	28111	-0.416165847597079	0.841476632948616	0.158523367051384
1464	28116	0.362223545088018	0.564701892555701	0.435298107444299
1464	28118	-0.353055598059494	0.822513099609816	0.177486900390184
1464	28129	0.494669917803527	0.502657976260435	0.497342023739565
1464	28131	0.327995389942798	0.579657058120231	0.420342941879769
1464	2847299	-0.43758008969064	0.847814864723024	0.152185135276976
1464	290053	0.493032039374851	0.503471926042133	0.496528073957867
1464	291644	0.578148769164464	0.459266388295255	0.540733611704745
1464	291645	-0.582989555842219	0.889659922622746	0.110340077377254
1464	328814	0.550269555089186	0.474199559737678	0.525800440262322
1464	376805	-0.491046001642919	0.86343673816989	0.13656326183011
1464	387090	0.419700696429703	0.538655410986605	0.461344589013395
1464	397865	0.365962006711249	0.563044400242446	0.436955599757554
1464	454154	-0.432066702332587	0.846187539004383	0.153812460995617
1464	52227	-0.557503946847613	0.882469247862953	0.117530752137047
1464	573	-0.336813356553382	0.817561421715024	0.182438578284976
1464	674529	0.305547297602479	0.589259154531146	0.410740845468854
1464	817	-0.336678208354485	0.817520094051053	0.182479905948947
1464	818	0.331718478475002	0.578049098920238	0.421950901079762
154046	166486	-0.452603522820598	0.852233396089533	0.147766603910467
154046	1796613	-0.44443829781305	0.849834777416484	0.150165222583516
154046	2108523	-0.370915891031381	0.827923876643071	0.172076123356929
154046	2133944	-0.60473770662415	0.895750441424438	0.104249558575562
154046	246787	0.568888659512331	0.464279732751533	0.535720267248467
154046	2528203	-0.672776681449301	0.914542694861563	0.0854573051384367
154046	2530391	0.347669038813497	0.571108991868672	0.428891008131328
154046	2576606	-0.409700738504052	0.83955367264519	0.16044632735481
154046	2585119	0.432945870256964	0.532472595418316	0.467527404581684
154046	2691580	-0.770997815766653	0.941009515299036	0.0589904847009641
154046	2714358	-0.547230567734709	0.879554025553493	0.120445974446507
154046	2763056	0.478312753548532	0.510728522040559	0.489271477959441
154046	2785531	0.59286980199067	0.451181891264117	0.548818108735883
154046	28111	-0.670076131260558	0.913804172473665	0.0861958275263353
154046	28118	-0.697038830983	0.921151136074586	0.0788488639254142
154046	28129	0.712276536394782	0.379291091119484	0.620708908880516
154046	28131	0.501405458024407	0.499296776464456	0.500703223535544
154046	2847299	-0.400555906293221	0.836826118824341	0.163173881175659
154046	291645	-0.632055712940447	0.903342601934739	0.0966573980652614
154046	328812	-0.321709164162016	0.812929629230604	0.187070370769396
154046	328814	0.417942706984908	0.539470709591861	0.460529290408139
154046	376805	-0.866830640944453	0.966134214523131	0.0338657854768695
154046	387090	0.824252942117267	0.296434695913563	0.703565304086437
154046	387661	-0.397380201902351	0.835876845564689	0.164123154435311
154046	454154	-0.561871330719533	0.883705644069204	0.116294355930796
154046	454155	-0.635202071130296	0.904212937070217	0.095787062929783
154046	46503	-0.339937576699609	0.818516211415391	0.181483788584609
154046	52227	-0.406563274055709	0.83861888663913	0.16138111336087
154046	544645	-0.478270103124273	0.859729638643531	0.140270361356469
154046	817	-0.558300322196449	0.882694828974445	0.117305171025555
154046	820	-0.44205996089069	0.849134842322081	0.150865157677919
154046	839	-0.361430426103683	0.825054672765291	0.174945327234709
1622	1747	-0.378861494138972	0.830319665592407	0.169680334407593
