	ERR4701919_bracken_species	ERR4701950_bracken_species	ERR4701953_bracken_species	ERR4701956_bracken_species	ERR4701959_bracken_species	ERR4701962_bracken_species	ERR4701965_bracken_species	ERR4701968_bracken_species	ERR4701971_bracken_species	ERR4701974_bracken_species	ERR4701976_bracken_species	ERR4701978_bracken_species	ERR4701982_bracken_species	ERR4701984_bracken_species	ERR4701988_bracken_species	ERR4701990_bracken_species	ERR4701994_bracken_species	ERR4701996_bracken_species	ERR4701998_bracken_species	ERR4702000_bracken_species	ERR4702004_bracken_species	ERR4702007_bracken_species	ERR4702012_bracken_species	ERR4702014_bracken_species	ERR4702016_bracken_species	ERR4702019_bracken_species	ERR4702024_bracken_species	ERR8529715_bracken_species	ERR8529719_bracken_species	ERR8529723_bracken_species	ERR8529727_bracken_species	ERR8529731_bracken_species	ERR8529735_bracken_species	ERR8529739_bracken_species	ERR8529743_bracken_species	ERR8529747_bracken_species	ERR8529751_bracken_species	ERR8529755_bracken_species	ERR8529759_bracken_species	ERR8529763_bracken_species	ERR8529767_bracken_species	ERR8529771_bracken_species	ERR8529775_bracken_species	ERR8529779_bracken_species	ERR8529783_bracken_species
3016342	0	7	0	6	2	0	0	0	0	0	2	5	2	12	2	32	0	0	5	4	15	7	0	0	10	8	4	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0
33010	0	3	5	13	8	3	4	30	36	117	32	130	12	109	44	242	5	3	12	13	99	30	2	5	84	13	77	0	0	0	0	0	0	66	23	283	5	0	2	6	47	78	4	16	3
546874	0	6	2	4	2	2	0	59	47	212	0	0	0	0	0	8	0	0	9	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	5	4
2017486	0	2	3	0	4	17	0	135	108	517	0	0	0	3	2	0	3	0	0	0	0	2	0	0	0	0	0	4	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	4
1655	0	5	3	0	0	0	0	12	16	29	15	10	0	0	0	4	7	0	31	81	9	0	0	0	428	2	32	0	0	0	0	0	0	5	5	6	4	0	3	0	0	0	11	5	13
33007	0	10	0	14	0	11	4	46	34	79	0	0	0	0	20	21	21	0	2	0	0	0	8	2	3	5	13	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
477641	0	11	3	0	8	3	9	23	34	107	0	0	0	0	0	5	0	0	0	16	0	0	0	0	3	0	2	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	2	3	5
164546	0	7	2	4	0	3	0	10	14	25	0	4	0	2	0	0	0	2	5	3	0	0	0	2	0	3	6	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0
34073	0	11	11	16	5	8	9	58	36	143	5	14	0	22	0	6	0	10	0	20	15	6	0	7	16	3	11	3	0	0	0	0	0	0	3	7	5	0	2	0	0	5	7	11	5
2806262	0	6	4	12	12	2	5	10	3	5	0	3	3	0	0	7	4	0	0	6	5	7	0	0	4	0	5	2	0	0	0	0	0	0	0	0	3	0	4	0	0	0	0	0	0
179636	0	4	0	6	12	0	4	5	17	24	0	14	0	13	0	0	0	5	0	0	0	7	0	0	3	0	4	2	0	0	0	2	0	0	3	5	5	0	0	0	0	0	0	0	6
76731	0	8	3	13	11	3	6	11	14	28	4	3	5	6	0	0	0	4	4	7	6	2	4	0	8	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0
1658665	0	37	27	20	14	10	11	14	29	23	15	4	5	3	7	9	2	15	3	10	10	6	0	3	14	12	10	0	3	2	0	0	3	3	3	8	3	0	14	6	0	2	4	6	13
2082386	0	12	5	14	0	0	0	13	7	18	7	0	0	0	0	3	0	0	2	0	6	0	0	3	0	0	5	0	2	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	2
639200	0	4	2	20	17	0	4	25	6	27	5	0	0	13	0	0	0	0	0	4	2	0	0	2	0	0	3	0	0	0	0	0	0	2	0	5	3	0	2	0	2	2	0	3	3
2914710	0	3	6	10	2	6	10	2	25	24	2	15	5	7	4	0	0	7	3	4	0	0	0	3	0	12	2	4	0	0	0	0	0	0	0	2	3	0	0	0	0	2	2	0	3
215580	0	5	4	0	3	5	7	4	11	24	5	5	0	2	4	0	0	0	4	5	0	5	0	8	0	0	3	0	0	0	0	0	0	0	0	0	5	0	5	0	0	0	0	3	0
